# Force and moment coefficients
# dragDir             : (9.84807753012208e-01 1.73648177666930e-01 0.00000000000000e+00)
# sideDir             : (0.00000000000000e+00 0.00000000000000e+00 -1.00000000000000e+00)
# liftDir             : (-1.73648177666930e-01 9.84807753012208e-01 0.00000000000000e+00)
# rollAxis            : (9.84807753012208e-01 1.73648177666930e-01 0.00000000000000e+00)
# pitchAxis           : (0.00000000000000e+00 0.00000000000000e+00 -1.00000000000000e+00)
# yawAxis             : (-1.73648177666930e-01 9.84807753012208e-01 0.00000000000000e+00)
# magUInf             : 1.00000000000000e+00
# lRef                : 1.00000000000000e+00
# Aref                : 1.99895000000000e+00
# CofR                : (2.50000000000000e-01 0.00000000000000e+00 0.00000000000000e+00)
#
# Time                	Cd                    	Cd(f)                 	Cd(r)                 	Cl                    	Cl(f)                 	Cl(r)                 	CmPitch               	CmRoll                	CmYaw                 	Cs                    	Cs(f)                 	Cs(r)                 
1000                  	7.92618482141735e-02	3.81211687509527e-02	4.11406794632208e-02	2.11650419673128e+00	1.04474499346724e+00	1.07175920326404e+00	-1.35071048984002e-02	-1.50975535613402e-03	5.65394578750115e-05	-2.41180994122230e-15	5.65394578738056e-05	-5.65394578762174e-05
1050                  	7.92618408984924e-02	3.81211651847924e-02	4.11406757137000e-02	2.11650406820603e+00	1.04474492270310e+00	1.07175914550294e+00	-1.35071113999200e-02	-1.50975526445378e-03	5.65394526565561e-05	-2.41180998307856e-15	5.65394526553502e-05	-5.65394526577620e-05
1100                  	7.92617913594198e-02	3.81211405377543e-02	4.11406508216655e-02	2.11650389647758e+00	1.04474484475658e+00	1.07175905172100e+00	-1.35071034822073e-02	-1.50975514195557e-03	5.65394173190984e-05	-2.41180996727961e-15	5.65394173178925e-05	-5.65394173203043e-05
1150                  	7.92618479952877e-02	3.81211686422640e-02	4.11406793530237e-02	2.11650419567401e+00	1.04474499309783e+00	1.07175920257618e+00	-1.35071047391719e-02	-1.50975535537981e-03	5.65394577188700e-05	-2.41180994123037e-15	5.65394577176641e-05	-5.65394577200759e-05
1200                  	7.92618411634471e-02	3.81211653156536e-02	4.11406758477936e-02	2.11650407047182e+00	1.04474492330231e+00	1.07175914716952e+00	-1.35071119336042e-02	-1.50975526607002e-03	5.65394528455563e-05	-2.41180998300378e-15	5.65394528443504e-05	-5.65394528467622e-05
1250                  	7.92617915883384e-02	3.81211406508855e-02	4.11406509374529e-02	2.11650389833950e+00	1.04474484529045e+00	1.07175905304906e+00	-1.35071038793043e-02	-1.50975514328370e-03	5.65394174823855e-05	-2.41180996722245e-15	5.65394174811796e-05	-5.65394174835914e-05
1300                  	7.92618482082883e-02	3.81211687479558e-02	4.11406794603326e-02	2.11650419680746e+00	1.04474499350023e+00	1.07175920330723e+00	-1.35071049034993e-02	-1.50975535618839e-03	5.65394578708191e-05	-2.41180994122036e-15	5.65394578696132e-05	-5.65394578720250e-05
1350                  	7.92618408967523e-02	3.81211651839063e-02	4.11406757128460e-02	2.11650406822863e+00	1.04474492271288e+00	1.07175914551575e+00	-1.35071114014354e-02	-1.50975526446988e-03	5.65394526553118e-05	-2.41180998307798e-15	5.65394526541059e-05	-5.65394526565177e-05
1400                  	7.92617913589086e-02	3.81211405374940e-02	4.11406508214146e-02	2.11650389648430e+00	1.04474484475949e+00	1.07175905172481e+00	-1.35071034826570e-02	-1.50975514196033e-03	5.65394173187287e-05	-2.41180996727944e-15	5.65394173175228e-05	-5.65394173199346e-05
1450                  	7.92618479951299e-02	3.81211686421837e-02	4.11406793529462e-02	2.11650419567595e+00	1.04474499309867e+00	1.07175920257728e+00	-1.35071047393052e-02	-1.50975535538123e-03	5.65394577187587e-05	-2.41180994123032e-15	5.65394577175528e-05	-5.65394577199646e-05
1500                  	7.92618411634092e-02	3.81211653156342e-02	4.11406758477750e-02	2.11650407047244e+00	1.04474492330258e+00	1.07175914716986e+00	-1.35071119336441e-02	-1.50975526607044e-03	5.65394528455248e-05	-2.41180998300377e-15	5.65394528443189e-05	-5.65394528467307e-05
1550                  	7.92617915883262e-02	3.81211406508792e-02	4.11406509374469e-02	2.11650389833970e+00	1.04474484529054e+00	1.07175905304916e+00	-1.35071038793109e-02	-1.50975514328384e-03	5.65394174823791e-05	-2.41180996722245e-15	5.65394174811732e-05	-5.65394174835850e-05
1600                  	7.92618482082811e-02	3.81211687479521e-02	4.11406794603290e-02	2.11650419680751e+00	1.04474499350025e+00	1.07175920330726e+00	-1.35071049035059e-02	-1.50975535618842e-03	5.65394578708155e-05	-2.41180994122036e-15	5.65394578696096e-05	-5.65394578720214e-05
1650                  	7.92618408967490e-02	3.81211651839046e-02	4.11406757128444e-02	2.11650406822863e+00	1.04474492271288e+00	1.07175914551576e+00	-1.35071114014387e-02	-1.50975526446989e-03	5.65394526553124e-05	-2.41180998307798e-15	5.65394526541065e-05	-5.65394526565183e-05
1700                  	7.92617913589069e-02	3.81211405374931e-02	4.11406508214138e-02	2.11650389648430e+00	1.04474484475949e+00	1.07175905172481e+00	-1.35071034826570e-02	-1.50975514196034e-03	5.65394173187294e-05	-2.41180996727944e-15	5.65394173175235e-05	-5.65394173199353e-05
1750                  	7.92618479951322e-02	3.81211686421849e-02	4.11406793529473e-02	2.11650419567597e+00	1.04474499309868e+00	1.07175920257729e+00	-1.35071047393052e-02	-1.50975535538123e-03	5.65394577187587e-05	-2.41180994123032e-15	5.65394577175528e-05	-5.65394577199646e-05
1800                  	7.92618411634092e-02	3.81211653156342e-02	4.11406758477750e-02	2.11650407047244e+00	1.04474492330258e+00	1.07175914716986e+00	-1.35071119336441e-02	-1.50975526607044e-03	5.65394528455248e-05	-2.41180998300377e-15	5.65394528443189e-05	-5.65394528467307e-05
1850                  	7.92617915883262e-02	3.81211406508792e-02	4.11406509374469e-02	2.11650389833970e+00	1.04474484529054e+00	1.07175905304916e+00	-1.35071038793109e-02	-1.50975514328384e-03	5.65394174823775e-05	-2.41180996722245e-15	5.65394174811716e-05	-5.65394174835834e-05
1900                  	7.92618482082811e-02	3.81211687479521e-02	4.11406794603290e-02	2.11650419680751e+00	1.04474499350025e+00	1.07175920330726e+00	-1.35071049035059e-02	-1.50975535618842e-03	5.65394578708155e-05	-2.41180994122036e-15	5.65394578696096e-05	-5.65394578720214e-05
1950                  	7.92618408967490e-02	3.81211651839046e-02	4.11406757128444e-02	2.11650406822863e+00	1.04474492271287e+00	1.07175914551576e+00	-1.35071114014421e-02	-1.50975526446989e-03	5.65394526553108e-05	-2.41180998307798e-15	5.65394526541049e-05	-5.65394526565167e-05
2000                  	7.92617913589069e-02	3.81211405374931e-02	4.11406508214138e-02	2.11650389648430e+00	1.04474484475949e+00	1.07175905172481e+00	-1.35071034826570e-02	-1.50975514196034e-03	5.65394173187294e-05	-2.41180996727944e-15	5.65394173175235e-05	-5.65394173199353e-05
2050                  	7.92618479951322e-02	3.81211686421849e-02	4.11406793529473e-02	2.11650419567597e+00	1.04474499309868e+00	1.07175920257729e+00	-1.35071047393052e-02	-1.50975535538123e-03	5.65394577187571e-05	-2.41180994123032e-15	5.65394577175512e-05	-5.65394577199630e-05
2100                  	7.92618411634075e-02	3.81211653156333e-02	4.11406758477742e-02	2.11650407047244e+00	1.04474492330258e+00	1.07175914716986e+00	-1.35071119336441e-02	-1.50975526607044e-03	5.65394528455232e-05	-2.41180998300377e-15	5.65394528443173e-05	-5.65394528467291e-05
2150                  	7.92617915883301e-02	3.81211406508812e-02	4.11406509374489e-02	2.11650389833971e+00	1.04474484529054e+00	1.07175905304916e+00	-1.35071038793109e-02	-1.50975514328384e-03	5.65394174823791e-05	-2.41180996722245e-15	5.65394174811732e-05	-5.65394174835850e-05
2200                  	7.92618482082861e-02	3.81211687479546e-02	4.11406794603315e-02	2.11650419680751e+00	1.04474499350025e+00	1.07175920330726e+00	-1.35071049035093e-02	-1.50975535618846e-03	5.65394578708223e-05	-2.41180994122036e-15	5.65394578696164e-05	-5.65394578720282e-05
2250                  	7.92618408967490e-02	3.81211651839046e-02	4.11406757128444e-02	2.11650406822863e+00	1.04474492271288e+00	1.07175914551575e+00	-1.35071114014354e-02	-1.50975526446989e-03	5.65394526553124e-05	-2.41180998307798e-15	5.65394526541065e-05	-5.65394526565183e-05
