"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
          27, 0.021017341392857,   -3.819947684482, -0.34257374759604, -0.69680507483727,   1.7534225106298,  -4.1849750254495, 0.094268498333077,   1.0407215644375
          28, 0.020920446517241,  -3.8233115368796, -0.34460716139135, -0.70569356031641,   1.7531638501659,  -4.1664140075897,  0.09314040618805,   1.0536351028128
          29, 0.020811704566667,  -3.8269835410393, -0.34662616857712, -0.71467635500506,   1.7525441599413,  -4.1479916536839, 0.092096461917626,   1.0662049266252
          30, 0.020708684322581,  -3.8310169537251, -0.34881067246947, -0.72377238569719,   1.7509891072159,  -4.1297702937152, 0.091132498785499,   1.0784390124013
          31,     0.02061126375,  -3.8339273306165, -0.35128949081932, -0.73298534438985,   1.7496410631885,  -4.1115528646216, 0.090244211723646,   1.0903282588083
          32, 0.020518586969697,  -3.8359924854783, -0.35415556831805, -0.74240942985168,   1.7484897002409,  -4.0935566920724, 0.089421758377017,   1.1018377790937
          33, 0.020432824411765,  -3.8377567553113, -0.35748941518777, -0.75211794791366,   1.7472030763259,  -4.0757636105013, 0.088655334316925,   1.1129352121349
          34, 0.020349972942857,  -3.8394757506511, -0.36134921644015,  -0.7621850990452,   1.7455828156984,  -4.0582360025605, 0.087937819899417,   1.1236046069694
          35, 0.020272642694444,  -3.8413014030042, -0.36577750873207, -0.77265898539407,   1.7434954836917,  -4.0410637979833,  0.08726435889072,   1.1338411327204
          36, 0.020199444405405,  -3.8433908130881, -0.37079061961513, -0.78358398292538,   1.7408291033923,  -4.0243247116145, 0.086629545296043,   1.1436399041328
          37,      0.0201298245,  -3.8459766387635, -0.37638912749777, -0.79499718507703,   1.7374296129925,  -4.0079967579707, 0.086027374385526,   1.1529924357323
          38,  0.02006497174359,  -3.8492281615177,  -0.3825622283818, -0.80692175425716,   1.7332082987076,  -3.9920642325671,  0.08545043319787,   1.1618846321712
          39,    0.020001050375,  -3.8532828576844, -0.38928405965563, -0.81936539608482,   1.7280966765706,  -3.9765476433038, 0.084891070080648,   1.1703005703095
          40, 0.019942836317073,  -3.8582377959214, -0.39652704022193, -0.83231894347206,   1.7220513774564,  -3.9611934180002, 0.084341640638016,   1.1782241800994
          41, 0.019887094904762,  -3.8641606168655, -0.40425679101023, -0.84576820863943,   1.7150482387624,  -3.9460441042365, 0.083795507405789,   1.1856427421044
          42,       0.019832221,  -3.8710331282375, -0.41244246334715, -0.85967537008793,   1.7071146626235,  -3.9310450007402, 0.083246368443072,   1.1925450964699
          43, 0.019772020590909,  -3.8788369235698,  -0.4210208361493, -0.87402581377303,   1.6982876223721,  -3.9161351651453,  0.08265205016876,   1.1988251010682
