"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
          42, 0.019203137767442,  -6.7307861898107,  -5.8218149281156,  -6.2611129915009,  -6.2385045352338,  -9.0117724087638, 0.083449832737241,   1.1913761534711
          43, 0.019147776045455,    -6.73893758373,  -5.8304713560892,  -6.2753939603142,   -6.247686350114,  -8.9969430341159, 0.082905585128915,   1.1978492684428
          44, 0.019098779511111,  -6.7480030997185,  -5.8395560470211,  -6.2901143815999,  -6.2577267740874,  -8.9821555097977,  0.08234445743823,   1.2037934338677
          45, 0.019067336304348,  -6.7578799934764,  -5.8489965970668,  -6.3053214814124,  -6.2685217253872,  -8.9672538113077,  0.08176235459671,   1.2092001353655
          46, 0.019020225574468,  -6.7688093322616,  -5.8587902069458,  -6.3209325224035,  -6.2802256210929,  -8.9522054963966, 0.081156051750377,   1.2140668582438
          47, 0.018972620770833,  -6.7805142674245,  -5.8688980901069,  -6.3369363306196,  -6.2926409443954,  -8.9370382131145, 0.080523762241912,   1.2183963634703
          48, 0.018926273591837,  -6.7929695887069,  -5.8792867131613,  -6.3533102187965,   -6.305735170851,  -8.9216616066518, 0.079865138965253,   1.2221973902115
          49,     0.01888345556,  -6.8063174729471,  -5.8899190110841,  -6.3700342187256,  -6.3196107826991,  -8.9060234071407, 0.079180580498527,    1.225482599254
          50, 0.018841471098039,  -6.8205256479009,  -5.9007532851297,  -6.3870236339997,  -6.3342584401158,  -8.8901803560754, 0.078472280741211,   1.2282709970276
          51, 0.018801044096154,  -6.8355926533979,  -5.9117330612676,  -6.4041983638222,  -6.3496770833819,  -8.8740413727197,  0.07774307198788,   1.2305847484578
          52, 0.018761665075472,  -6.8514534846621,  -5.9228066012889,  -6.4214816155872,  -6.3658214059218,  -8.8577467599674, 0.076996621467204,   1.2324487276551
          53, 0.018722981407407,   -6.868033141547,  -5.9339370216281,  -6.4387089805632,  -6.3826118666585,  -8.8414508194688, 0.076236852409043,   1.2338905858694
          54, 0.018686567672727,  -6.8851967963255,  -5.9450386954558,  -6.4557814497478,  -6.3998916661232,  -8.8251892167616, 0.075469115187102,   1.2349415747414
          55,    0.018644596125,  -6.9028444736542,   -5.956057940637,  -6.4725092545214,  -6.4175693433371,  -8.8090736074031, 0.074775519817943,   1.2361284905829
          56, 0.018604947017544,  -6.9005708072031,  -5.9669760737556,  -6.4857646837755,  -6.4207032829697,  -8.7933424343064, 0.073975654277109,   1.2364734325186
          57, 0.018566210068966,  -6.9126299471559,  -5.9777244878866,  -6.5007208236155,  -6.4342904168368,  -8.7780148039552, 0.073185913935931,   1.2363365893092
          58, 0.018529804237288,  -6.9335538679992,  -5.9883184092095,  -6.5158613697462,  -6.4542824669366,  -8.7632540467431, 0.072446721752078,   1.2360453714999
          59, 0.018493803666667,  -6.9526315015866,  -5.9986810421557,  -6.5299900896181,  -6.4727473950607,  -8.7491724985149, 0.071745571365345,   1.2356940795165
          60, 0.018459159229508,  -6.9694644296629,  -6.0088281706803,  -6.5433242836274,  -6.4894204022104,  -8.7357853428959, 0.071069482521598,   1.2352384109072
          61, 0.018424685693548,   -6.985640425873,  -6.0187970357974,  -6.5560714703134,  -6.5053619430328,  -8.7231226894961, 0.070416577974692,   1.2346230286541
          62, 0.018392521444444,  -7.0014365679016,  -6.0286006605229,  -6.5682877246346,  -6.5206683597964,  -8.7112185423895, 0.069791617157708,   1.2338408345401
          63, 0.018361119390625,  -7.0167428007802,  -6.0382433107828,   -6.580078462228,  -6.5351773286129,  -8.7001215341071,  0.06920106734332,   1.2329281086941
          64, 0.018331351338462,  -7.0317547575099,  -6.0477113255945,  -6.5915764879422,  -6.5489851349235,  -8.6897658923928, 0.068650050946829,   1.2319344735367
          65, 0.018301227681818,  -7.0467277224385,  -6.0569620748152,  -6.6028998695044,  -6.5621812935682,  -8.6801743356256, 0.068141705859072,   1.2309014120897
          66, 0.018272935059701,  -7.0619349258873,  -6.0659258150397,  -6.6141211459287,  -6.5748813046874,   -8.671438044459, 0.067677082638462,   1.2298537750897
          67, 0.018245450382353,  -7.0776135967296,  -6.0745040337017,  -6.6252634545397,  -6.5871301985412,  -8.6635807656974, 0.067256088918128,   1.2288043655175
          68, 0.018218954463768,  -7.0939534535348,  -6.0825829316683,  -6.6362593119338,  -6.5989722223144,  -8.6566318040345, 0.066878527516397,   1.2277615807156
          69, 0.018192832457143,  -7.1109517268282,   -6.090085967432,  -6.6469998800847,  -6.6103811373645,  -8.6505624511413, 0.066544310105653,   1.2267341479385
          70, 0.018167296366197,  -7.1283993270825,  -6.0968955930676,  -6.6572115498371,  -6.6211515943904,  -8.6453726136057, 0.066253661860592,   1.2257327583679
          71, 0.018141905472222,  -7.1457663436431,  -6.1031019824369,  -6.6667948214376,  -6.6311876613864,   -8.641053933318,  0.06600636797603,    1.224767751687
          72, 0.018117248027397,  -7.1626719257424,  -6.1086560773491,  -6.6753125772766,  -6.6403037396368,  -8.6374698840769, 0.065801610078419,   1.2238473922307
          73, 0.018093618324324,  -7.1779391103891,  -6.1137101450155,  -6.6825660850777,  -6.6481592948643,  -8.6344715192743, 0.065637830846325,   1.2229766855385
          74,      0.0180697418,  -7.1906001588861,  -6.1184813327147,  -6.6883720748755,  -6.6545550989246,  -8.6318735281066, 0.065512868743973,   1.2221577275818
          75, 0.018046202921053,  -7.1999561525135,  -6.1232175718651,  -6.6926776925614,  -6.6594437520672,  -8.6306940730578, 0.065424105739483,   1.2213900360025
          76, 0.018023340545455,  -7.2055215554797,  -6.1281861849126,  -6.6956000116824,  -6.6628570229219,  -8.6294270332512, 0.065368715432971,    1.220671842512
          77, 0.018000660217949,  -7.2073987898812,  -6.1336856680917,  -6.6972955165002,  -6.6650726881651,  -8.6276750861695, 0.065343561395066,   1.2200000113469
          78, 0.017979208987342,  -7.2058866890048,  -6.1399989889182,  -6.6980738542031,   -6.666279434218,  -8.6253109298469, 0.065345441698769,   1.2193707248763
          79,   0.0179543113125,  -7.2019237092197,  -6.1473889644024,  -6.6983205463952,  -6.6669412915679,  -8.6221417970405, 0.065362971994375,   1.2187380322217
          80,       0.017929361,  -7.1761933507713,  -6.1561196720945,  -6.6944619424764,  -6.6543356549914,  -8.6178991767985,  0.06541238115259,   1.2182136581507
          81,  0.01790519202439,  -7.1666212620705,  -6.1663167154386,  -6.6941539053349,  -6.6528269552078,  -8.6126097508201,  0.06547207268868,   1.2177424120054
          82, 0.017881768506024,  -7.1664550254068,  -6.1781064826941,  -6.6956512691363,  -6.6575965615951,  -8.6064188183338, 0.065537737857177,   1.2172759479826
          83, 0.017858806464286,  -7.1643750294266,  -6.1916376017766,  -6.6981046311235,  -6.6619275703964,  -8.5996417913846, 0.065612632600069,    1.216794258881
          84, 0.017840894247059,  -7.1621898051378,  -6.2069915822871,  -6.7017103104847,  -6.6667918813189,  -8.5925011145944, 0.065708833329338,   1.2163623893029
          85,       0.017823764,  -7.1749461505127,  -6.2241256393938,  -6.7103653973585,  -6.6826063988448,  -8.5852884983477, 0.065806061330063,   1.2158874000158
          86, 0.017807138114943,  -7.1813256164407,  -6.2432047246552,  -6.7174344001576,  -6.6931130618914,  -8.5782759838529, 0.065915414599165,    1.215423132042
          87, 0.017790148034091,  -7.1880283985365,  -6.2641428629466,  -6.7261573439813,  -6.7050679307822,  -8.5716700258119, 0.066028303156935,   1.2149831800455
          88, 0.017774013606742,  -7.1955646496902,  -6.2868086924478,  -6.7367943080493,  -6.7181973345872,  -8.5657200702425, 0.066136538745618,   1.2145564333187
          89, 0.017763743188889,  -7.2046688206626,  -6.3110868037757,  -6.7493305416057,  -6.7328938349149,     -8.5604809789, 0.066239066896135,   1.2141295165648
          90, 0.017748206582418,  -7.2152036023564,  -6.3368453848828,  -6.7637054172497,  -6.7491105901202,  -8.5559305582086, 0.066338360748349,   1.2136992694035
          91, 0.017733079195652,  -7.2267538539115,  -6.3639163115128,  -6.7798477910537,  -6.7665893499933,  -8.5524905970534, 0.066436665779442,   1.2132723860828
          92, 0.017717718666667,  -7.2390785558573,  -6.3920893244473,  -6.7976695703975,  -6.7851966132839,  -8.5504328220807, 0.066534563161959,   1.2128581661427
          93, 0.017702608180851,  -7.2520066343421,  -6.4211084594077,  -6.8170625619987,  -6.8048299236837,  -8.5499440180676, 0.066631333544887,   1.2124630283062
